"Rk","GA","GD","Pts","Pts/G","xG","xGA","xGD","xGD/90","Last 5","Attendance","Squad","Top Team Scorer","Goalkeeper","Country","LgRk","MP","W","D","L","GF"
"49","43","-4","48","1.3","44.3","45.3","-1","-0.03","L D W W D","30931","Brighton","Leandro Trossard Neal Maupay - 8","Robert S�nchez","ENG","10","37","11","15","11","39"
"50","53","-6","48","1.3","44.1","55.8","-11.6","-0.31","W W W L L","11629","Brest","Franck Honorat - 11","Marco Bizot","FRA","11","37","13","9","15","47"
"51","49","-12","47","1.27","36.3","44.1","-7.8","-0.21","L D D D L","17017","Osasuna","Ante Budimir - 8","Sergio Herrera","ESP","9","37","12","11","14","37"
"52","43","4","45","1.25","44.6","39.3","5.3","0.15","L D W W D","24541","Crystal Palace","Wilfried Zaha - 13","Vicente Guaita","ENG","12","36","10","15","11","47"
"53","41","2","46","1.24","43.2","44.9","-1.8","-0.05","L D W L W","10014","Celta Vigo","Iago Aspas - 17","Mat�as Dituro","ESP","10","37","12","10","15","43"
"54","41","0","46","1.24","38","47.2","-9.2","-0.25","W L W L W","10635","Reims","Hugo Ekitike - 9","Predrag Rajkovi?","FRA","12","37","11","13","13","41"
"55","49","-4","42","1.24","44.2","51.5","-7.3","-0.21","L D L D D","26162","Eint Frankfurt","Rafael Borr� - 8","Kevin Trapp","GER","11","34","10","12","12","45"
"56","54","-7","46","1.24","46.7","47.8","-1.1","-0.03","W D L W W","16916","Brentford","Ivan Toney - 12","David Raya","ENG","11","37","13","7","17","47"
"57","54","-11","42","1.24","48.8","49.8","-1","-0.03","L W D W D","12018","Wolfsburg","Lukas Nmecha - 8","Koen Casteels","GER","12","34","12","6","16","43"
"58","52","-14","42","1.24","40.9","56.8","-15.9","-0.47","L L W W L","15125","Bochum","Sebastian Polter - 10","Manuel Riemann","GER","13","34","12","6","16","38"
"59","50","-1","44","1.22","42.4","44.6","-2.2","-0.06","D W W L D","41748","Aston Villa","Ollie Watkins - 11","Emiliano Mart�nez","ENG","13","36","13","5","18","49"
"60","53","-7","45","1.22","37.8","46.1","-8.4","-0.23","L D D L D","27969","Valencia","Gon�alo Guedes Carlos Soler - 11","Giorgi Mamardashvili","ESP","11","37","10","15","12","46"
"61","58","-1","44","1.19","50.6","50.2","0.4","0.01","D W L D L","11655","Udinese","Gerard Deulofeu - 12","Marco Silvestri","ITA","12","37","10","14","13","57"
"62","61","-21","43","1.19","36.5","53.5","-16.9","-0.47","W W W L L","51443","Newcastle Utd","Callum Wilson - 6","Martin D�bravka","ENG","14","36","11","10","15","40"
"63","59","-10","43","1.16","42.4","56.5","-14.1","-0.38","L L D L L","10218","Montpellier","Sepe Elye Wahi - 10","Jonas Omlin","FRA","13","37","12","7","18","49"
"64","55","-12","43","1.16","43.1","53.2","-10.1","-0.27","D W D L L","13845","Bologna","Marko Arnautovi? - 14","?ukasz Skorupski","ITA","13","37","11","10","16","43"
"65","46","-9","42","1.14","42.8","44","-1.3","-0.03","W D D L L","7834","Rayo Vallecano","Sergi Guardiola - 7","Stole Dimitrievski","ESP","12","37","11","9","17","37"
"66","56","-17","38","1.12","38.1","58.3","-20.1","-0.59","L W L L W","15197","Augsburg","Michael Gregoritsch - 9","Rafa? Gikiewicz","GER","14","34","10","8","16","39"
"67","53","-13","41","1.11","37.5","50","-12.5","-0.34","L L D L D","17277","Espanyol","Ra�l de Tom�s - 17","Diego L�pez","ESP","13","37","10","11","16","40"
"68","61","-20","40","1.11","45.6","54.7","-9.1","-0.25","W L D L L","30053","Southampton","James Ward-Prowse - 9","Fraser Forster","ENG","15","36","9","13","14","41"
"69","38","-6","39","1.05","28.3","36.5","-8.2","-0.22","W D D D D","8702","Getafe","Enes �nal - 15","David Soria","ESP","14","37","8","15","14","32"
"70","51","-14","39","1.05","32.3","59.8","-27.5","-0.74","W D L L L","15546","Elche","Pere Milla - 8","�dgar Bad�a","ESP","15","37","10","9","18","37"
"71","55","-13","38","1.03","42.6","47.7","-5","-0.14","L D L W L","7370","Angers","Sofiane Boufal - 8","Danijel Petkovi?","FRA","14","37","9","11","17","42"
"72","70","-21","38","1.03","46.2","64.1","-17.9","-0.48","L W L L D","6320","Empoli","Andrea Pinamonti - 13","Guglielmo Vicario","ITA","14","37","9","11","17","49"
"73","52","-16","37","1","39","49.6","-10.6","-0.29","L L W D L","8963","Troyes","Xavier Chavalerin Ike Ugbo - 5","Gauthier Gallon","FRA","15","37","9","10","18","36"
"74","61","-17","37","1","39.5","61","-21.6","-0.58","D D W W L","13475","Granada","Jorge Molina - 10","Lu�s Maximiano","ESP","16","37","8","13","16","44"
"75","59","-20","36","1","40.9","50","-9.2","-0.25","L W W D L","38446","Everton","Richarlison - 9","Jordan Pickford","ENG","16","36","10","6","20","39"
"76","51","-17","36","0.97","39.6","52.5","-12.9","-0.35","L D W L D","14055","C�diz","�lvaro Negredo - 7","Jerem�as Ledesma","ESP","18","37","7","15","15","34"
